season,ranker,team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,DUMMY,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,arena_name,attendance,attendance_per_g,made_playoffs
2000,1,Los Angeles Lakers,29.2,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,9.1,93.3,0.346,0.15300000000000002,0.525,NA,0.48400000000000004,12.7,30.6,0.24100000000000002,0.443,13.4,73.1,0.222,,771420,18815,TRUE
2000,2,Portland Trail Blazers,29.6,59,23,59,23,6.4,-0.04,6.359999999999999,107.9,100.8,7.1,89.9,0.316,0.17500000000000002,0.546,NA,0.501,14.5,30.3,0.24000000000000002,0.461,13.8,72.4,0.21700000000000003,,835078,20368,TRUE
2000,3,San Antonio Spurs,30.9,53,29,58,24,5.94,-0.02,5.92,105,98.6,6.4,90.8,0.346,0.138,0.535,NA,0.48800000000000004,14.3,27.8,0.258,0.451,13.5,73,0.188,,884450,21694,TRUE
2000,4,Phoenix Suns,28.6,53,29,56,26,5.22,0.02,5.24,104.6,99,5.6,94,0.28600000000000003,0.184,0.532,NA,0.491,15.2,29.3,0.21700000000000003,0.454,15.7,70.5,0.24500000000000002,,773115,18856,TRUE
2000,5,Utah Jazz,31.5,55,27,54,28,4.46,0.05,4.52,107.3,102.3,5,89.6,0.33699999999999997,0.134,0.54,NA,0.49,14.3,29.5,0.26,0.47700000000000004,15,73.2,0.256,,801268,19543,TRUE
2000,6,Indiana Pacers,30.4,56,26,54,28,4.6,-0.45,4.1499999999999995,108.5,103.6,4.9,93.1,0.302,0.224,0.552,NA,0.503,13.3,24.9,0.24500000000000002,0.46900000000000003,12.6,71.5,0.197,,752145,18345,TRUE
2000,7,Miami Heat,29.2,52,30,50,32,3.11,-0.36,2.75,104.5,101,3.5,89.7,0.28300000000000003,0.186,0.533,NA,0.495,14.5,28.2,0.20800000000000002,0.453,13.3,72.9,0.229,,706725,18374,TRUE
2000,8,Sacramento Kings,27.5,44,38,49,33,2.9099999999999997,0.12000000000000001,3.04,105,102.1,2.9,99.3,0.277,0.227,0.526,NA,0.48600000000000004,13.9,27.7,0.20900000000000002,0.47900000000000004,15.1,69.7,0.198,,720033,17185,TRUE
2000,9,Charlotte Hornets,28.7,49,33,49,33,2.67,-0.33999999999999997,2.3299999999999996,104.3,101.4,2.9,93.9,0.376,0.15300000000000002,0.53,NA,0.47500000000000003,13.7,25.7,0.28500000000000003,0.47800000000000004,14.6,73.2,0.198,,732827,17874,TRUE
2000,10,Minnesota Timberwolves,26.6,50,32,48,34,2.52,0.14,2.67,106.1,103.4,2.7,91.8,0.256,0.10400000000000001,0.525,NA,0.48500000000000004,12.9,29.4,0.2,0.47400000000000003,14,73,0.25,,690012,16400,TRUE
